Wall time,Step,Value
1741429429.6327162,19,-820.0
1741429429.6792164,25,20.0
1741429429.8216982,43,-1104.0
1741429429.8445423,46,-466.0
1741429430.0255146,57,-1116.0
1741429430.1471078,72,-174.0
1741429430.1710138,75,-1392.0
1741429430.330982,95,360.0
1741429430.9220977,156,-864.0
1741429430.9452627,159,-1836.0
1741429431.0193813,168,-247.0
1741429431.1510875,184,-1055.0
1741429431.519711,230,-385.0
1741429431.562856,235,-509.0
1741429431.7319863,256,-752.0
1741429431.770907,261,-67.0
1741429431.824495,268,-723.0
1741429431.8718812,274,-1107.0
1741429432.1566138,309,76.0
1741429432.1746254,311,935.0
1741429432.234899,319,-1392.0
1741429432.6734152,340,-1091.0
1741429432.7349572,348,-360.0
1741429432.893348,368,-224.0
1741429433.365269,422,-432.0
1741429433.373437,423,-928.0
1741429433.53065,443,-597.0
1741429433.5540223,446,-862.0
1741429433.6773598,461,-610.0
1741429433.6996148,464,-126.0
1741429433.7076766,465,440.0
1741429433.7850232,475,-1132.0
1741429433.9408178,494,120.0
1741429434.1076312,515,-1410.0
1741429434.2897036,537,240.0
1741429434.5086446,564,-1404.0
1741429434.5909545,574,-672.0
1741429434.638424,580,-2006.0
1741429434.6943011,587,383.0
1741429434.7024791,588,-481.0
1741429434.9885254,621,-1341.0
1741429435.100952,635,-615.0
1741429435.1576717,642,-477.0
1741429435.1661956,643,-234.0
1741429435.1817646,645,-840.0
1741429435.2053056,648,-1610.0
1741429435.2233922,650,-1876.0
1741429435.321845,662,-115.0
1741429435.4093409,672,-289.0
1741429435.8091931,715,-726.0
1741429435.8930194,723,960.0
1741429435.9853504,731,-62.0
1741429436.2422364,753,-69.0
1741429436.286398,757,-960.0
1741429436.387628,766,-258.0
1741429436.4317868,770,-349.0
1741429436.4485292,772,-186.0
1741429436.5473156,781,-997.0
1741429436.590781,786,-375.0
1741429436.606464,788,460.0
1741429436.6435058,793,-684.0
1741429436.6593983,795,-660.0
1741429436.6919353,799,-2110.0
1741429436.725151,803,-837.0
1741429436.7724411,809,-572.0
1741429436.7795146,810,-192.0
1741429436.9877489,833,-190.0
1741429437.0220857,837,-1899.0
1741429437.290108,870,-1352.0
1741429437.3595457,877,-482.0
1741429437.408473,883,600.0
1741429437.7205067,908,-638.0
1741429437.7358963,910,-1377.0
1741429437.7994704,918,-1272.0
1741429438.0008411,943,-993.0
1741429438.0242603,946,-85.0
1741429438.099528,955,-1069.0
1741429438.168205,963,-240.0
1741429438.241073,972,-1342.0
1741429438.2493882,973,-79.0
1741429438.2978826,979,-1392.0
1741429438.3064618,980,-1524.0
1741429438.345345,985,-420.0
1741429438.6010742,1003,-299.0
1741429438.625321,1006,-624.0
1741429438.702004,1015,-819.0
1741429447.7998273,1064,-1382.0
1741429447.8695912,1067,450.0
1741429447.9171941,1069,-225.0
1741429448.0095649,1073,-854.0
1741429448.1519423,1079,-687.0
1741429448.2828915,1084,-347.0
1741429448.517468,1094,-727.0
1741429448.6596637,1100,-312.0
1741429448.7775373,1105,560.0
1741429449.0251174,1115,-917.0
1741429450.055347,1157,-407.0
1741429450.1501067,1161,-580.0
1741429450.1735165,1162,-432.0
1741429450.1967506,1163,205.0
1741429450.6532378,1181,-1669.0
1741429450.9710028,1194,-1996.0
1741429451.2980497,1207,-1005.0
1741429452.2313018,1245,-1517.0
1741429452.494448,1256,-205.0
1741429452.5694222,1259,-360.0
1741429452.6536784,1262,960.0
1741429453.1608615,1282,-999.0
1741429453.3065028,1288,-846.0
1741429453.4853985,1295,-706.0
1741429454.015449,1317,-900.0
1741429454.0872872,1320,-1896.0
1741429454.3711402,1331,48.0
1741429454.4440444,1334,-267.0
1741429454.515653,1337,460.0
1741429454.5401044,1338,-1287.0
1741429455.7232738,1386,-65.0
1741429455.8720725,1392,-15.0
1741429455.8970594,1393,537.0
1741429456.9422264,1415,726.0
1741429457.22932,1427,-109.0
1741429457.4794335,1437,-165.0
1741429457.5877793,1441,92.0
1741429458.2429872,1467,-274.0
1741429458.525397,1478,-1342.0
1741429458.7206054,1486,1105.0
1741429458.8663318,1492,-1122.0
1741429459.7244549,1524,126.0
1741429459.8430707,1528,-892.0
1741429460.494689,1553,-360.0
1741429460.9163117,1569,960.0
1741429460.9430058,1570,670.0
1741429461.3353226,1585,840.0
1741429461.4353523,1589,-1581.0
1741429461.860798,1605,129.0
1741429461.8865616,1606,-382.0
1741429462.453092,1628,-225.0
1741429462.7047436,1638,-504.0
1741429462.7794497,1641,685.0
1741429462.902976,1646,-487.0
1741429462.9780288,1649,-635.0
1741429463.4838464,1669,-49.0
1741429463.8377488,1683,-1568.0
1741429464.06197,1692,850.0
1741429464.1659586,1696,-338.0
1741429464.2164564,1698,-1125.0
1741429464.2637765,1700,-850.0
1741429464.3360927,1703,-615.0
1741429464.5096636,1710,240.0
1741429464.7463577,1719,528.0
1741429465.091851,1733,760.0
1741429465.143739,1735,50.0
1741429465.219689,1738,865.0
1741429465.3544836,1743,942.0
1741429465.4294457,1746,-1430.0
1741429465.4546921,1747,-27.0
1741429466.4030254,1767,-357.0
1741429466.6452448,1776,840.0
1741429466.7945375,1782,-400.0
1741429466.9939063,1790,-223.0
1741429467.219616,1799,-702.0
1741429467.4052584,1806,-1217.0
1741429467.9356494,1827,-210.0
1741429468.04519,1831,130.0
1741429468.2936685,1841,1560.0
1741429468.3996468,1845,450.0
1741429468.6263103,1854,-942.0
1741429468.9592602,1867,-305.0
1741429469.035655,1870,-922.0
1741429469.1901283,1876,840.0
1741429469.2415586,1878,398.0
1741429470.2693715,1918,-1835.0
1741429470.688507,1935,180.0
1741429470.9508336,1945,-964.0
1741429471.0252466,1948,-264.0
1741429471.0762906,1950,-999.0
1741429471.5469499,1968,-846.0
1741429471.9129567,1982,-605.0
1741429471.9610758,1984,-361.0
1741429472.4187229,2002,726.0
1741429472.520098,2006,-1632.0
1741429472.7349498,2014,-672.0
1741429473.1671119,2031,-772.0
1741429473.319302,2037,-2388.0
1741429473.9528892,2061,-1712.0
1741429474.2931643,2074,-221.0
1741429474.3639874,2077,-50.0
1741429474.3896968,2078,-2223.0
1741429474.4872618,2082,-412.0
1741429474.5827825,2086,-931.0
1741429474.6808357,2090,-1176.0
1741429474.8495674,2097,-35.0
1741429475.2346902,2112,-260.0
1741429476.5086489,2146,36.0
1741429476.598478,2150,-1267.0
1741429476.762906,2157,960.0
1741429476.9856448,2166,355.0
1741429477.5092518,2188,60.0
1741429477.5577302,2190,-1080.0
1741429477.6171093,2192,858.0
1741429477.8068187,2200,-1297.0
1741429478.0012867,2208,-147.0
1741429478.1012273,2212,-1224.0
1741429478.576818,2232,95.0
1741429478.6907306,2237,-1062.0
1741429478.7131772,2238,-597.0
1741429478.760767,2240,-590.0
1741429478.8312547,2243,794.0
1741429478.9512846,2248,-925.0
1741429479.1247685,2255,185.0
1741429479.20071,2258,457.0
1741429479.325449,2263,-352.0
1741429479.8021057,2282,-432.0
1741429480.040025,2292,-930.0
1741429480.1842072,2298,-1518.0
1741429480.3235111,2304,540.0
1741429480.417726,2308,-1170.0
1741429480.7092605,2320,935.0
1741429480.7340508,2321,-356.0
1741429481.3384802,2346,-1510.0
1741429481.5587082,2355,63.0
1741429482.4165592,2390,-247.0
1741429482.4422257,2391,207.0
1741429482.4919415,2393,384.0
1741429483.6640713,2437,185.0
1741429483.8608189,2445,-920.0
1741429484.033834,2452,-622.0
1741429484.079474,2454,-212.0
1741429484.1273658,2456,-505.0
1741429484.2612517,2461,-1262.0
1741429484.8566582,2486,725.0
1741429484.8787038,2487,-170.0
1741429485.1230404,2497,-864.0
1741429485.1688943,2499,-672.0
1741429485.7108643,2504,-351.0
1741429486.0410595,2518,608.0
1741429486.1994517,2524,695.0
1741429486.410811,2533,-1204.0
1741429486.7586286,2548,-1482.0
1741429486.8692641,2552,-822.0
1741429486.9169192,2554,-828.0
1741429487.5176635,2579,69.0
1741429488.0571887,2601,485.0
1741429488.199201,2607,-626.0
1741429488.6178584,2624,30.0
1741429488.7567203,2630,-172.0
1741429488.7808108,2631,-40.0
1741429489.1192927,2645,528.0
1741429489.3919933,2656,420.0
1741429489.9668128,2679,-72.0
1741429490.1294947,2686,-215.0
1741429490.2579257,2691,-1244.0
1741429490.5776055,2704,590.0
1741429490.742333,2711,-942.0
1741429491.1093152,2726,-1657.0
1741429491.404938,2738,655.0
1741429491.4754798,2741,-573.0
1741429491.8057392,2755,-1312.0
1741429492.6552944,2790,-1350.0
1741429492.6908932,2791,-71.0
1741429492.719638,2792,915.0
1741429493.1548598,2810,-1275.0
1741429493.5241358,2825,255.0
1741429494.6807609,2873,-565.0
1741429495.3353057,2882,-1032.0
1741429495.5448139,2891,-1440.0
1741429495.6909206,2897,515.0
1741429496.2022429,2918,133.0
1741429496.2507443,2920,960.0
1741429496.2745948,2921,960.0
1741429497.4064507,2968,-411.0
1741429497.6120772,2976,-1343.0
1741429498.1630542,2999,740.0
1741429498.5013094,3012,-334.0
1741429498.8910203,3028,-322.0
1741429498.9756148,3031,-222.0
1741429499.167062,3039,-791.0
1741429499.238629,3042,-1370.0
1741429499.8276181,3066,-893.0
1741429499.920831,3070,-936.0
1741429499.9674606,3072,-999.0
1741429500.6513531,3100,-202.0
1741429501.2123146,3123,-164.0
1741429501.571045,3138,-467.0
1741429502.0173411,3156,-1032.0
1741429502.168619,3162,840.0
1741429502.5431833,3178,-504.0
1741429502.9773972,3196,-492.0
1741429503.0017378,3197,520.0
1741429503.1676428,3204,-405.0
1741429503.2412632,3207,-1397.0
1741429503.8350008,3231,-294.0
1741429504.504047,3241,-917.0
1741429504.574268,3244,-402.0
1741429504.5996544,3245,700.0
1741429504.646257,3247,-437.0
1741429504.6693192,3248,730.0
1741429505.2769268,3273,528.0
1741429506.0832565,3306,-912.0
1741429506.2830892,3314,-858.0
1741429506.6157582,3328,900.0
1741429506.638693,3329,960.0
1741429507.0646906,3346,208.0
1741429507.7684886,3375,201.0
1741429507.8232105,3377,-256.0
1741429508.068271,3387,-720.0
1741429508.489906,3404,-894.0
1741429508.6051393,3409,215.0
1741429509.143151,3431,-486.0
1741429509.33531,3439,705.0
1741429509.5966866,3450,-432.0
1741429509.657068,3452,-252.0
1741429509.8243964,3459,-1872.0
1741429509.9682493,3465,-813.0
1741429510.1345549,3472,510.0
1741429510.2767062,3478,285.0
1741429510.3607242,3481,238.0
1741429510.7676072,3498,630.0
1741429511.0493877,3510,840.0
1741429511.1334772,3513,-1773.0
1741429511.695796,3536,-192.0
1741429511.7444818,3538,-1160.0
1741429511.9009194,3544,700.0
1741429511.9935002,3548,630.0
1741429512.3734655,3564,-387.0
1741429512.790267,3581,-504.0
1741429513.2901483,3601,117.0
1741429513.7328916,3619,570.0
1741429513.7822146,3621,-1952.0
1741429513.828491,3623,-350.0
1741429514.3294702,3626,-645.0
1741429514.4010718,3629,640.0
1741429514.824454,3646,702.0
1741429515.0857046,3657,890.0
1741429515.4308825,3671,-1488.0
1741429516.2075765,3703,-77.0
1741429516.7971432,3727,-1324.0
1741429516.8900452,3731,-1070.0
1741429516.9367557,3733,-1660.0
1741429517.0812218,3739,-1570.0
1741429517.1565392,3742,730.0
1741429517.607778,3760,-225.0
1741429517.9192455,3773,39.0
1741429518.1249413,3781,924.0
1741429518.4285917,3794,-392.0
1741429518.5495772,3799,900.0
1741429518.943146,3815,726.0
1741429519.0671458,3820,-1279.0
1741429519.1121852,3822,-102.0
1741429519.3497107,3832,-2190.0
1741429519.447665,3836,960.0
1741429520.1436923,3865,450.0
1741429520.259895,3870,-762.0
1741429520.4353318,3877,-92.0
1741429521.5078938,3921,670.0
1741429521.7035306,3929,-1512.0
1741429521.888122,3936,-80.0
1741429521.9833064,3940,-2385.0
1741429522.2422478,3951,960.0
1741429522.3872507,3957,935.0
1741429522.5564768,3963,-802.0
1741429523.553299,3985,960.0
1741429523.8255243,3996,480.0
1741429524.0510783,4001,84.0
1741429524.2660158,4010,60.0
1741429524.2918518,4011,720.0
1741429524.5882723,4023,942.0
1741429524.8472686,4034,370.0
1741429524.923209,4037,630.0
1741429526.2997582,4094,-360.0
1741429526.4223034,4099,-1392.0
1741429526.4472504,4100,915.0
1741429526.6944773,4110,960.0
1741429528.4774332,4183,-552.0
1741429528.741765,4194,-120.0
1741429528.7656393,4195,840.0
1741429528.8120165,4197,-510.0
1741429528.8608377,4199,865.0
1741429528.9432824,4202,-504.0
1741429528.9675274,4203,-72.0
1741429529.5744374,4228,-370.0
1741429529.708687,4233,720.0
1741429529.7835894,4236,565.0
1741429529.979486,4244,610.0
1741429530.4769506,4264,-1014.0
1741429530.550979,4267,-507.0
1741429530.575507,4268,405.0
1741429530.935042,4283,840.0
1741429531.331181,4299,73.0
1741429531.474151,4305,635.0
1741429531.5712063,4309,960.0
1741429531.784183,4318,-661.0
1741429531.8312585,4320,-478.0
1741429532.0644488,4329,-1442.0
1741429532.1585057,4333,-1172.0
1741429532.4253504,4344,-327.0
1741429533.5111241,4370,380.0
1741429533.7255273,4379,780.0
1741429534.0997002,4394,675.0
1741429534.271118,4401,943.0
1741429534.4171228,4407,-959.0
1741429534.5243995,4411,935.0
1741429534.5485353,4412,840.0
1741429535.0013227,4431,690.0
1741429535.0695724,4434,-885.0
1741429535.9342632,4470,-659.0
1741429536.0898285,4476,865.0
1741429536.4407601,4491,-1849.0
1741429536.4893954,4493,-1215.0
1741429536.9098196,4510,90.0
1741429536.9332132,4511,-357.0
1741429537.3788142,4530,-562.0
1741429537.4137917,4531,840.0
1741429537.4842658,4534,-386.0
1741429537.7065868,4543,-422.0
1741429537.9924889,4554,731.0
1741429538.6430342,4579,840.0
1741429538.7218099,4582,945.0
1741429539.0247507,4593,360.0
1741429539.1187863,4596,644.0
1741429539.1745093,4598,-824.0
1741429539.227721,4600,810.0
1741429539.9872348,4629,-1851.0
1741429540.5507836,4650,-1512.0
1741429540.7293382,4657,730.0
1741429540.9255855,4665,630.0
1741429541.0259097,4669,765.0
1741429541.1994288,4676,959.0
1741429541.2233145,4677,-1472.0
1741429541.2484765,4678,-175.0
1741429541.505567,4688,-1032.0
1741429542.1620076,4714,767.0
1741429542.282004,4719,795.0
1741429542.664499,4735,-457.0
1741429543.363572,4746,-2084.0
1741429543.4566526,4750,-1227.0
1741429543.482131,4751,-1060.0
1741429543.6818836,4759,-589.0
1741429543.83106,4765,-702.0
1741429543.9074728,4768,672.0
1741429544.134992,4777,720.0
1741429544.2282481,4781,-290.0
1741429544.3933456,4788,-370.0
1741429544.4196508,4789,-511.0
1741429544.558038,4795,-598.0
1741429544.7111576,4801,-1367.0
1741429544.7602541,4803,840.0
1741429544.8280053,4806,128.0
1741429545.6741788,4841,-572.0
1741429545.9523602,4853,885.0
1741429546.4074981,4872,740.0
1741429546.96001,4895,-912.0
1741429547.4430292,4915,960.0
1741429548.022101,4939,-1787.0
1741429548.4181833,4955,-325.0
1741429548.6052654,4963,-195.0
1741429548.8250663,4972,-1712.0
