Wall time,Step,Value
1741463217.2474573,1042,1019505.3125
1741463217.3860636,1048,967159.625
1741463217.7585113,1064,345601.8125
1741463217.803764,1066,393235.3125
1741463217.8707216,1069,360865.0
1741463218.1047041,1080,241232.96875
1741463218.4348423,1095,209773.609375
1741463218.4968283,1098,214388.3125
1741463218.9377782,1118,206115.78125
1741463219.1924264,1130,214486.015625
1741463219.6265101,1150,203271.65625
1741463220.2537289,1179,209132.78125
1741463220.3173313,1182,210563.96875
1741463220.5127914,1191,210473.984375
1741463220.8582444,1207,210542.921875
1741463220.9034805,1209,213152.578125
1741463221.848543,1253,202676.15625
1741463221.9582744,1258,206893.0625
1741463222.2873182,1273,204203.203125
1741463222.417099,1279,200364.15625
1741463222.5224652,1284,198093.46875
1741463222.6828597,1291,197120.46875
1741463222.811077,1297,184908.1875
1741463223.2174811,1316,194274.875
1741463223.5755858,1332,182409.796875
1741463223.6188154,1334,180959.0
1741463223.7904031,1342,184414.359375
1741463224.2621365,1363,171778.984375
1741463224.8754368,1371,176920.84375
1741463225.3313663,1391,160190.546875
1741463226.540767,1445,157177.109375
1741463226.5635579,1446,165599.1875
1741463226.9289012,1463,157628.71875
1741463226.9934156,1466,165775.140625
1741463227.0598986,1469,166116.90625
1741463227.3963118,1484,158303.03125
1741463227.463945,1487,163223.046875
1741463227.4852068,1488,163282.46875
1741463227.7014627,1498,150358.0625
1741463228.126322,1517,150999.875
1741463228.5922008,1538,151943.0
1741463228.975675,1555,148440.09375
1741463229.0885153,1560,151143.65625
1741463229.6874995,1587,156562.90625
1741463229.9134378,1597,159688.640625
1741463230.0418684,1603,145384.0
1741463230.1942363,1610,161166.09375
1741463230.2159815,1611,155452.921875
1741463230.963558,1644,157235.046875
1741463231.0080369,1646,154436.328125
1741463231.2811475,1658,148232.6875
1741463231.433158,1665,135854.203125
1741463231.4559355,1666,148514.015625
1741463231.4992225,1668,140416.21875
1741463231.5634787,1671,138949.75
1741463231.6062853,1673,129418.9609375
1741463231.8729699,1685,132108.5
1741463232.0903664,1695,121187.15625
1741463233.044423,1738,127463.65625
1741463233.1434567,1742,115181.125
1741463233.229612,1746,113521.875
1741463233.840252,1754,103580.328125
1741463234.037348,1763,102078.6484375
1741463234.3364127,1776,92230.3671875
1741463234.4232607,1780,98985.21875
1741463234.6148453,1789,96636.6640625
1741463234.7013834,1793,98082.9765625
1741463234.7437797,1795,95309.296875
1741463234.7869222,1797,98309.328125
1741463234.9472013,1804,91229.015625
1741463235.056001,1809,89058.578125
1741463235.1005578,1811,91145.265625
1741463235.2068396,1816,91487.78125
1741463235.2512622,1818,96422.4609375
1741463235.3387525,1822,97611.8359375
1741463235.4252052,1826,97308.4609375
1741463235.5699422,1832,93649.6875
1741463235.591497,1833,89809.921875
1741463236.0984232,1856,85416.3515625
1741463236.1831598,1860,95955.375
1741463236.9392066,1893,90751.609375
1741463237.0903306,1900,102885.0
1741463237.2234461,1906,96708.0234375
1741463237.5358675,1920,85983.8984375
1741463237.6332085,1924,85596.03125
1741463237.78434,1931,98059.59375
1741463237.8283112,1933,95261.21875
1741463238.0025253,1941,85123.8515625
1741463238.312877,1955,78730.8515625
1741463238.334535,1956,79920.484375
1741463238.5520065,1966,70355.0546875
1741463238.6172028,1969,74566.4765625
1741463238.8138602,1978,76122.9375
1741463239.002669,1986,86148.75
1741463239.202635,1995,77261.421875
1741463239.223844,1996,75817.984375
1741463239.3620584,2002,77202.140625
1741463239.3834255,2003,77017.515625
1741463239.4934065,2008,73494.6484375
1741463239.906455,2026,71883.265625
1741463239.9778917,2029,68618.15625
1741463240.1827805,2038,69681.9765625
1741463240.8512073,2068,73243.546875
1741463241.1493738,2081,72283.078125
1741463241.279278,2087,66442.359375
1741463241.3427277,2090,65764.7890625
1741463241.3854096,2092,61291.8359375
1741463241.4724772,2096,66190.484375
1741463241.6149917,2102,70025.03125
1741463242.1465104,2107,60190.46484375
1741463242.366798,2117,61307.9765625
1741463242.496185,2123,59886.34375
1741463242.6041193,2128,59176.125
1741463242.8381393,2138,61826.546875
1741463243.7587278,2180,54336.203125
1741463243.8461156,2184,58034.0859375
1741463243.8676915,2185,54961.625
1741463243.8893068,2186,58075.38671875
1741463244.2910862,2204,54510.2890625
1741463244.5744383,2217,52846.046875
1741463244.8664355,2230,49925.77734375
1741463245.4580388,2256,57421.3984375
1741463245.7169805,2268,57999.33203125
1741463245.9608068,2279,49676.1015625
1741463246.041732,2282,52897.9609375
1741463246.1073632,2285,56214.6796875
1741463246.5417495,2305,54647.33203125
1741463246.6799502,2311,47429.96875
1741463246.831938,2318,52003.99609375
1741463246.9626951,2324,57609.171875
