Wall time,Step,Value
1741463201.1707258,19,-312.0
1741463201.2117584,25,150.0
1741463201.3504379,43,-367.0
1741463201.3729482,46,-504.0
1741463201.4556465,57,-767.0
1741463201.5710068,72,-285.0
1741463201.5930023,75,-145.0
1741463201.7491226,95,-672.0
1741463202.1977131,156,720.0
1741463202.2204456,159,-732.0
1741463202.2900817,168,27.0
1741463202.4075055,184,113.0
1741463203.066471,230,-797.0
1741463203.1063805,235,-734.0
1741463203.2604048,256,-1235.0
1741463203.2964673,261,-600.0
1741463203.3456824,268,125.0
1741463203.390814,274,-672.0
1741463203.6429887,309,-537.0
1741463203.657033,311,-1562.0
1741463203.713205,319,-1711.0
1741463203.908583,340,-70.0
1741463203.9652362,348,-694.0
1741463204.1094954,368,-1068.0
1741463204.5133898,422,498.0
1741463204.5211592,423,-1752.0
1741463204.734217,443,-1176.0
1741463204.754849,446,-955.0
1741463204.8735864,461,-1512.0
1741463204.895376,464,-1440.0
1741463204.9035103,465,-2260.0
1741463204.9726317,475,-559.0
1741463205.1132343,494,-1506.0
1741463205.2702596,515,-2166.0
1741463205.4373162,537,120.0
1741463205.6327105,564,-1126.0
1741463205.7076614,574,-287.0
1741463205.750009,580,-822.0
1741463205.801595,587,333.0
1741463205.8098478,588,-2206.0
1741463206.056263,621,-1752.0
1741463206.1629505,635,-822.0
1741463206.2122462,642,-707.0
1741463206.2191727,643,-126.0
1741463206.2338667,645,-620.0
1741463206.2564394,648,-1544.0
1741463206.2699995,650,30.0
1741463206.3586442,662,-593.0
1741463206.4342365,672,78.0
1741463206.745066,715,-1102.0
1741463206.8059492,723,-288.0
1741463206.8644736,731,180.0
1741463207.0287607,753,-667.0
1741463207.0587063,757,-1252.0
1741463207.1233308,766,-562.0
1741463207.1543863,770,-890.0
1741463207.170518,772,639.0
1741463207.2471993,781,-879.0
1741463207.2894528,786,-764.0
1741463207.3039422,788,-1798.0
1741463207.3411222,793,-2028.0
1741463207.3585398,795,-1523.0
1741463207.387267,799,-1308.0
1741463207.4168327,803,-762.0
1741463207.4614506,809,-1392.0
1741463207.467641,810,-531.0
1741463207.6516361,833,-240.0
1741463207.679557,837,-1499.0
1741463207.9336143,870,-696.0
1741463207.984493,877,-641.0
1741463208.0300703,883,-1360.0
1741463208.2230914,908,-1420.0
1741463208.237524,910,333.0
1741463215.1599112,918,-670.0
1741463215.3519127,943,-1133.0
1741463215.3741891,946,-350.0
1741463215.442699,955,-754.0
1741463215.504802,963,-1410.0
1741463215.5742438,972,-792.0
1741463215.581041,973,-2469.0
1741463215.6259367,979,-1560.0
1741463215.6324017,980,1113.0
1741463215.6696837,985,-1332.0
1741463215.9524772,1003,-445.0
1741463215.977277,1006,528.0
1741463216.0493739,1015,-1367.0
1741463217.7585113,1064,960.0
1741463217.8260162,1067,-600.0
1741463217.8707216,1069,-423.0
1741463217.9550784,1073,-95.0
1741463218.0821586,1079,-360.0
1741463218.2010257,1084,435.0
1741463218.4127088,1094,-652.0
1741463218.5385926,1100,-806.0
1741463218.6461813,1105,-240.0
1741463218.874309,1115,960.0
1741463219.7751977,1157,-1287.0
1741463219.861137,1161,420.0
1741463219.8825777,1162,-700.0
1741463219.903609,1163,-747.0
1741463220.296225,1181,-1102.0
1741463220.5737162,1194,-870.0
1741463220.8582444,1207,-1552.0
1741463221.6787527,1245,-335.0
1741463221.9116495,1256,-126.0
1741463221.9789484,1259,420.0
1741463222.0546381,1262,-792.0
1741463222.4813447,1282,320.0
1741463222.6075425,1288,-1470.0
1741463222.768973,1295,-457.0
1741463223.239499,1317,-1346.0
1741463223.3022485,1320,-1944.0
1741463223.553949,1331,-1305.0
1741463223.6188154,1334,-270.0
1741463223.6843956,1337,715.0
1741463223.7053683,1338,-840.0
1741463225.222016,1386,-816.0
1741463225.3523164,1392,328.0
1741463225.3760078,1393,441.0
1741463225.874166,1415,-960.0
1741463226.1367958,1427,473.0
1741463226.354252,1437,-1432.0
1741463226.4532127,1441,-421.0
1741463227.01672,1467,-610.0
1741463227.2676322,1478,-276.0
1741463227.440892,1486,-2102.0
1741463227.572347,1492,-1540.0
1741463228.276998,1524,-227.0
1741463228.3626997,1528,-732.0
1741463228.9307919,1553,408.0
1741463229.2951922,1569,-560.0
1741463229.3167748,1570,168.0
1741463229.6430511,1585,-644.0
1741463229.7294233,1589,-360.0
1741463230.0862324,1605,215.0
1741463230.10942,1606,-1452.0
1741463230.6176069,1628,-1407.0
1741463230.8342807,1638,328.0
1741463230.8996396,1641,-78.0
1741463231.0080369,1646,-97.0
1741463231.071745,1649,-245.0
1741463231.5195036,1669,-744.0
1741463231.830154,1683,-893.0
1741463232.025603,1692,-820.0
1741463232.1172745,1696,127.0
1741463232.1670022,1698,-1245.0
1741463232.2098844,1700,238.0
1741463232.2745364,1703,-480.0
1741463232.4246533,1710,-2406.0
1741463232.6319306,1719,-1198.0
1741463232.936486,1733,455.0
1741463232.9799905,1735,-1679.0
1741463233.044423,1738,-954.0
1741463233.1651185,1743,750.0
1741463233.229612,1746,-437.0
1741463233.2507176,1747,-432.0
1741463234.1247237,1767,-940.0
1741463234.3364127,1776,-435.0
1741463234.4658635,1782,-1357.0
1741463234.6359327,1790,-972.0
1741463234.8298028,1799,-624.0
1741463234.9927418,1806,840.0
1741463235.4476652,1827,610.0
1741463235.5485883,1831,96.0
1741463235.7641978,1841,-72.0
1741463235.856055,1845,760.0
1741463236.0542645,1854,-340.0
1741463236.3521361,1867,378.0
1741463236.4186213,1870,-255.0
1741463236.5530286,1876,-432.0
1741463236.5971382,1878,685.0
1741463237.4930086,1918,-1036.0
1741463237.8717623,1935,930.0
1741463238.087525,1945,-1572.0
1741463238.1514347,1948,-1272.0
1741463238.1946845,1950,-332.0
1741463238.5940297,1968,-1042.0
1741463238.9141762,1982,385.0
1741463238.9571514,1984,148.0
1741463239.3620584,2002,203.0
1741463239.4503694,2006,-742.0
1741463239.64065,2014,-1510.0
1741463240.0249412,2031,-705.0
1741463240.1614907,2037,-737.0
1741463240.6971798,2061,-622.0
1741463240.9931424,2074,-754.0
1741463241.0606415,2077,-897.0
1741463241.082256,2078,-335.0
