Wall time,Step,Value
1741096006.94729,1042,861366.5625
1741096007.0840116,1048,838933.875
1741096007.441322,1064,538854.375
1741096007.484982,1066,493680.3125
1741096007.551136,1069,435385.125
1741096007.7959287,1080,421041.15625
1741096008.1242173,1095,379487.3125
1741096008.1902275,1098,358724.5625
1741096008.6362264,1118,308605.125
1741096008.902995,1130,288363.90625
1741096009.3548672,1150,242453.609375
1741096009.9913135,1179,224261.125
1741096010.0615466,1182,230807.8125
1741096010.2669394,1191,227993.6875
1741096010.6391618,1207,226994.078125
1741096010.681322,1209,220918.515625
1741096011.6450255,1253,224106.28125
1741096011.7584338,1258,234255.46875
1741096012.095356,1273,230524.1875
1741096012.2317266,1279,220391.75
1741096012.343473,1284,230744.34375
1741096012.50223,1291,221146.359375
1741096012.6345384,1297,223845.171875
1741096013.0512028,1316,222607.6875
1741096013.425875,1332,225196.921875
1741096013.4704494,1334,220136.390625
1741096013.6542053,1342,209982.28125
1741096014.1361816,1363,207427.46875
1741096014.3117568,1371,217353.375
1741096015.2013106,1391,201740.9375
1741096016.457244,1445,201240.953125
1741096016.4813373,1446,200486.453125
1741096016.863896,1463,194611.375
1741096016.931324,1466,195365.59375
1741096016.996906,1469,191257.484375
1741096017.3411543,1484,178095.875
1741096017.4050295,1487,187257.3125
1741096017.427119,1488,179709.0
1741096017.6642125,1498,191082.265625
1741096018.1095061,1517,183520.453125
1741096018.604167,1538,195053.125
1741096018.9830341,1555,185248.546875
1741096019.0911832,1560,194532.75
1741096019.6949039,1587,167425.828125
1741096019.920717,1597,170167.390625
1741096020.0513139,1603,166732.53125
1741096020.2041743,1610,168297.875
1741096020.2255926,1611,177206.59375
1741096020.9672081,1644,159309.09375
1741096021.0186355,1646,161561.875
1741096021.2931364,1658,167613.5625
1741096021.450335,1665,145854.78125
1741096021.472907,1666,163481.3125
1741096021.5186453,1668,163454.46875
1741096021.5868561,1671,158655.46875
1741096021.6327379,1673,166380.265625
1741096021.903219,1685,156157.03125
1741096022.127361,1695,164056.09375
1741096023.1640792,1738,159746.421875
1741096023.2571852,1742,155567.234375
1741096023.350382,1746,155756.34375
1741096023.5303314,1754,137002.109375
1741096024.1599858,1763,148652.5625
1741096024.4598007,1776,134569.75
1741096024.5517182,1780,145498.5625
1741096024.7584665,1789,139545.375
1741096024.8502965,1793,136737.03125
1741096024.8973327,1795,139289.65625
1741096024.9594266,1797,133390.03125
1741096025.1345594,1804,144011.71875
1741096025.2494416,1809,145188.1875
1741096025.295581,1811,158524.84375
1741096025.4117637,1816,146366.28125
1741096025.4593472,1818,138747.625
1741096025.5527637,1822,147461.46875
1741096025.6442137,1826,146845.03125
1741096025.7856069,1832,153241.40625
1741096025.8094752,1833,150818.28125
1741096026.352882,1856,147286.21875
1741096026.441335,1860,135721.640625
1741096027.1909935,1893,152867.34375
1741096027.355261,1900,210872.59375
1741096027.503017,1906,170071.4375
1741096027.8293815,1920,154626.40625
1741096027.920441,1924,160813.59375
1741096028.0787919,1931,163865.171875
1741096028.121309,1933,170668.75
1741096028.2963264,1941,155041.375
1741096028.604928,1955,159280.0
1741096028.6282473,1956,139085.046875
1741096028.863202,1966,139323.40625
1741096028.9340308,1969,149977.28125
1741096029.1457233,1978,143058.75
1741096029.3383162,1986,145284.3125
1741096029.55414,1995,151677.453125
1741096029.578228,1996,142768.65625
1741096029.7383747,2002,148083.09375
1741096029.7613673,2003,142047.40625
1741096029.8870475,2008,140547.625
1741096030.341428,2026,118161.640625
1741096030.4161015,2029,122440.8515625
1741096030.6570048,2038,120213.1796875
1741096031.3630238,2068,112895.75
1741096031.667831,2081,99333.1875
1741096031.8030474,2087,96925.046875
1741096031.8680747,2090,100034.546875
1741096031.9130654,2092,112104.21875
1741096032.0031924,2096,102982.2734375
1741096032.151553,2102,105678.3046875
1741096032.2675397,2107,113346.1640625
1741096032.938889,2117,108137.65625
1741096033.0929372,2123,104266.2421875
1741096033.2230034,2128,100649.265625
1741096033.4539971,2138,95461.1953125
1741096034.4471421,2180,83124.2421875
1741096034.5331569,2184,80615.34375
1741096034.5551019,2185,77980.7109375
1741096034.5769415,2186,83555.34375
1741096034.9827652,2204,77333.015625
1741096035.2940187,2217,79245.1875
1741096035.5931492,2230,78937.15625
1741096036.1883352,2256,75660.375
1741096036.4591177,2268,79482.0546875
1741096036.7219694,2279,85529.046875
1741096036.7970781,2282,78515.796875
1741096036.86592,2285,79971.59375
1741096037.3202498,2305,82122.265625
1741096037.458412,2311,82340.90625
1741096037.621272,2318,76915.40625
1741096037.7594159,2324,97262.09375
1741096038.127192,2340,100848.484375
1741096038.1993678,2343,92825.625
1741096038.47061,2354,91248.703125
1741096038.5404086,2357,86830.65625
1741096038.610153,2360,89129.2265625
1741096038.6349046,2361,89927.03125
1741096039.7484243,2409,78626.1875
1741096039.8218455,2412,79015.453125
1741096039.889832,2415,73758.484375
1741096039.9129124,2416,75966.7890625
1741096040.428432,2438,80204.296875
1741096040.7092464,2450,73569.09375
1741096040.944096,2460,77164.53125
1741096041.0433793,2464,70227.5390625
1741096041.646004,2489,66636.265625
1741096041.6698306,2490,64757.40625
1741096042.3692453,2501,72188.765625
1741096042.5614896,2509,73056.3828125
