Wall time,Step,Value
1741095987.5567763,19,579.0
1741095987.5994534,25,-375.0
1741095987.7466457,43,-1344.0
1741095987.7699888,46,-1779.0
1741095987.8543158,57,-792.0
1741095987.978406,72,670.0
1741095988.0016975,75,-1057.0
1741095988.1645024,95,-840.0
1741095989.0194752,156,-1359.0
1741095989.0473855,159,-1182.0
1741095989.1338873,168,-480.0
1741095989.260678,184,-778.0
1741095989.6301217,230,153.0
1741095989.6738043,235,-1032.0
1741095989.839409,256,-802.0
1741095989.8773253,261,-401.0
1741095989.9317372,268,-63.0
1741095989.9814017,274,-375.0
1741095990.2727723,309,-40.0
1741095990.2873433,311,-795.0
1741095990.3516715,319,-830.0
1741095990.5191696,340,-450.0
1741095990.581817,348,-619.0
1741095990.7480814,368,-792.0
1741095991.2317016,422,-1032.0
1741095991.2403543,423,-815.0
1741095991.3973615,443,-723.0
1741095991.4209268,446,-642.0
1741095991.543173,461,-801.0
1741095991.5670676,464,525.0
1741095991.575337,465,115.0
1741095991.653901,475,-1387.0
1741095991.8041918,494,-197.0
1741095991.9714956,515,-1714.0
1741095992.1540003,537,378.0
1741095992.371674,564,-777.0
1741095992.4617412,574,-1212.0
1741095992.5104444,580,-464.0
1741095992.5741887,587,186.0
1741095992.5855787,588,-1716.0
1741095992.895906,621,-305.0
1741095993.0105002,635,-1104.0
1741095993.067683,642,-829.0
1741095993.076379,643,-1347.0
1741095993.0947642,645,-930.0
1741095993.1205642,648,-1272.0
1741095993.1358972,650,-614.0
1741095993.2375062,662,-517.0
1741095993.3212125,672,-294.0
1741095993.6661947,715,-1612.0
1741095993.7329242,723,-72.0
1741095993.794657,731,-1157.0
1741095993.9730573,753,-1417.0
1741095994.0038211,757,-687.0
1741095994.075477,766,108.0
1741095994.1077113,770,-672.0
1741095994.1239243,772,-10.0
1741095994.1987984,781,-820.0
1741095994.2416828,786,240.0
1741095994.2586663,788,48.0
1741095994.3029504,793,-1452.0
1741095994.3190181,795,-720.0
1741095994.3541002,799,-1474.0
1741095994.3992178,803,-562.0
1741095994.4452188,809,-855.0
1741095994.4529486,810,-744.0
1741095994.644807,833,-518.0
1741095994.6774154,837,-432.0
1741095994.938852,870,-1127.0
1741095994.995803,877,-1372.0
1741095995.0430036,883,-852.0
1741095995.252094,908,-264.0
1741095995.2673268,910,-897.0
1741095995.3329353,918,-270.0
1741095995.5329301,943,-1272.0
1741095995.5570066,946,330.0
1741095995.6271586,955,-816.0
1741095995.6948423,963,-770.0
1741095995.774268,972,-1080.0
1741095995.783191,973,-150.0
1741095995.831967,979,-110.0
1741095995.8399072,980,-1452.0
1741095995.8780322,985,470.0
1741095996.157013,1003,-717.0
1741095996.1796963,1006,-1008.0
1741095996.2539198,1015,-642.0
1741096007.441322,1064,345.0
1741096007.5080261,1067,-222.0
1741096007.551136,1069,-1168.0
1741096007.6381643,1073,382.0
1741096007.77344,1079,-1032.0
1741096007.8861387,1084,318.0
1741096008.1029143,1094,-246.0
1741096008.2352045,1100,-1452.0
1741096008.3439262,1105,-567.0
