Wall time,Step,Value
1741094545.2655087,1042,767265.1875
1741094545.3852503,1048,742759.25
1741094545.7008195,1064,456356.3125
1741094545.7375824,1066,423709.84375
1741094545.796371,1069,389855.25
1741094546.014446,1080,365166.4375
1741094546.315265,1095,329416.6875
1741094546.375534,1098,319510.375
1741094546.7697403,1118,264142.28125
1741094547.0051672,1130,238488.75
1741094547.4070544,1150,195358.09375
1741094547.9706988,1179,190489.0
1741094548.0298645,1182,192747.265625
1741094548.2126696,1191,192272.53125
1741094548.5295088,1207,190679.328125
1741094548.568106,1209,186153.0
1741094549.4505775,1253,189420.90625
1741094549.5564556,1258,196379.28125
1741094549.8675535,1273,192462.0
1741094549.9876847,1279,197457.609375
1741094550.0976229,1284,189967.53125
1741094550.2543137,1291,191008.0625
1741094550.4083297,1297,197635.0
1741094550.8018215,1316,199698.734375
1741094551.1197321,1332,190206.6875
1741094551.157409,1334,194947.90625
1741094551.3143895,1342,189815.34375
1741094551.7437792,1363,170607.875
1741094551.9020193,1371,183831.21875
1741094552.7562501,1391,175827.40625
1741094553.867295,1445,171840.40625
1741094553.8862593,1446,175384.109375
1741094554.226677,1463,166942.03125
1741094554.2864358,1466,165655.4375
1741094554.341084,1469,172237.0625
1741094554.647449,1484,175991.34375
1741094554.707436,1487,168556.0
1741094554.731036,1488,174715.265625
1741094554.9393024,1498,171667.984375
1741094555.4367056,1517,149916.71875
1741094555.8573875,1538,159992.9375
1741094556.2128115,1555,149483.890625
1741094556.3153377,1560,143524.5625
1741094556.8805182,1587,150279.046875
1741094557.0855026,1597,136008.578125
1741094557.209733,1603,135589.921875
1741094557.3626933,1610,143252.96875
1741094557.3842123,1611,146365.3125
1741094558.0530267,1644,152298.3125
1741094558.0902805,1646,156194.5
1741094558.345532,1658,150469.09375
1741094558.4963155,1665,149944.34375
1741094558.5183568,1666,145636.75
1741094558.5609117,1668,148268.90625
1741094558.6217098,1671,138172.59375
1741094558.6608853,1673,151956.40625
1741094558.905546,1685,152400.96875
1741094559.104514,1695,149339.109375
1741094559.9819736,1738,143539.875
1741094560.074588,1742,140266.203125
1741094560.181979,1746,147200.0
1741094560.3726425,1754,136094.296875
1741094561.0407202,1763,141144.75
1741094561.3417652,1776,145969.328125
1741094561.424074,1780,134585.15625
1741094561.6177495,1789,134379.0625
1741094561.7014785,1793,133335.8125
1741094561.740333,1795,143009.625
1741094561.78279,1797,129792.21875
1741094561.9364166,1804,128559.953125
1741094562.054381,1809,133326.90625
1741094562.101808,1811,122294.0859375
1741094562.2035108,1816,141386.8125
1741094562.2442293,1818,136851.96875
1741094562.324364,1822,153776.46875
1741094562.4051838,1826,150521.46875
1741094562.5343468,1832,152582.984375
1741094562.553168,1833,132388.703125
1741094563.0312722,1856,126456.25
1741094563.115397,1860,134217.90625
1741094563.804123,1893,131764.96875
1741094563.951671,1900,129005.765625
1741094564.0742874,1906,127779.125
1741094564.360869,1920,126193.1875
1741094564.4404857,1924,120425.171875
1741094564.5904279,1931,122280.2578125
1741094564.6353161,1933,124521.546875
1741094564.803041,1941,121983.90625
1741094565.1020184,1955,121315.578125
1741094565.1243548,1956,127672.640625
1741094565.3374348,1966,119125.78125
1741094565.40172,1969,118532.34375
1741094565.5879028,1978,122559.875
1741094565.7620792,1986,124368.0703125
1741094565.9739206,1995,119720.8125
1741094565.998543,1996,123099.171875
1741094566.2306452,2002,112433.0625
1741094566.2518513,2003,106609.6875
1741094566.3544247,2008,120498.53125
1741094566.7326033,2026,114586.25
1741094566.7908356,2029,113858.109375
1741094566.9797554,2038,111453.546875
1741094567.6042337,2068,131566.640625
1741094567.8686495,2081,137580.015625
1741094567.9863348,2087,132007.3125
1741094568.0473788,2090,119872.2578125
1741094568.0853145,2092,125313.2578125
1741094568.16359,2096,121804.5625
1741094568.287474,2102,121186.796875
1741094568.3852654,2107,117840.75
1741094568.5842545,2117,114191.515625
1741094569.134298,2123,126334.015625
1741094569.2344494,2128,119285.4375
1741094569.4506388,2138,118821.515625
1741094570.288375,2180,115279.703125
1741094570.3686838,2184,113377.5625
1741094570.388615,2185,119362.7421875
1741094570.4069943,2186,115510.984375
1741094570.7673047,2204,128402.921875
1741094571.03279,2217,124963.8046875
1741094571.302362,2230,122453.1953125
1741094571.8286133,2256,133149.46875
1741094572.0697672,2268,122563.3046875
1741094572.290405,2279,131186.90625
1741094572.3553786,2282,128288.0234375
1741094572.4175532,2285,130873.6875
1741094572.822922,2305,108096.4609375
1741094572.969531,2311,111883.15625
1741094573.1129663,2318,108051.984375
1741094573.2343297,2324,107378.9375
1741094573.5561705,2340,122303.671875
1741094573.6221304,2343,97720.96875
1741094573.854126,2354,108482.078125
1741094573.9195368,2357,109122.328125
1741094573.978733,2360,109881.25
1741094573.999687,2361,117195.03125
1741094574.9827292,2409,91328.828125
1741094575.0455477,2412,95501.890625
1741094575.110628,2415,105011.875
1741094575.1329262,2416,101812.46875
1741094575.6172411,2438,95041.046875
1741094575.8766963,2450,82577.453125
1741094576.0876377,2460,109404.8359375
1741094576.176634,2464,99128.546875
1741094576.6903877,2489,95756.3125
1741094576.7119105,2490,88027.7578125
1741094577.3752067,2501,96326.296875
1741094577.5388288,2509,106387.7734375
1741094577.6226885,2513,104241.546875
1741094577.6644087,2515,91275.9140625
1741094578.3243086,2547,94237.703125
1741094578.4069707,2551,93158.2578125
1741094578.9298306,2576,87453.46875
1741094579.32071,2592,75493.515625
1741094579.3387935,2593,87219.0078125
1741094579.6442585,2608,73417.890625
1741094579.7308006,2612,77448.671875
1741094580.0629067,2628,75696.0
1741094580.0835125,2629,73502.15625
