Wall time,Step,Value
1741094529.109767,19,5.0
1741094529.1537063,25,-818.0
1741094529.3887146,43,16.0
1741094529.4117677,46,899.0
1741094529.494336,57,-1127.0
1741094529.6123168,72,-240.0
1741094529.634387,75,-923.0
1741094529.7916627,95,-35.0
1741094530.355301,156,-1351.0
1741094530.377996,159,240.0
1741094530.454886,168,-837.0
1741094530.6106153,184,7.0
1741094531.0060656,230,-632.0
1741094531.046698,235,260.0
1741094531.5529187,256,-519.0
1741094531.590513,261,-960.0
1741094531.6453485,268,-200.0
1741094531.6925945,274,-59.0
1741094531.9554975,309,-612.0
1741094531.9707577,311,-1233.0
1741094532.029027,319,-120.0
1741094532.1872833,340,-882.0
1741094532.249834,348,-804.0
1741094532.402141,368,-377.0
1741094532.83517,422,150.0
1741094532.8429747,423,-1662.0
1741094532.9893255,443,705.0
1741094533.0119636,446,-30.0
1741094533.1297624,461,-1419.0
1741094533.1514611,464,-872.0
1741094533.1590176,465,558.0
1741094533.2345154,475,-435.0
1741094533.3774498,494,-596.0
1741094533.5427876,515,594.0
1741094533.7126768,537,-465.0
1741094533.9134145,564,-747.0
1741094533.9905012,574,-430.0
1741094534.0372856,580,3.0
1741094534.0909283,587,-1500.0
1741094534.1007347,588,-480.0
1741094534.387916,621,-460.0
1741094534.4937015,635,-912.0
1741094534.5468383,642,-772.0
1741094534.5528965,643,-240.0
1741094534.5685523,645,4.0
1741094534.5895174,648,-377.0
1741094534.6044836,650,-782.0
1741094534.6927793,662,-1416.0
1741094534.775617,672,460.0
1741094535.2364392,715,-894.0
1741094535.2964141,723,-726.0
1741094535.3570743,731,350.0
1741094535.5306306,753,-422.0
1741094535.562112,757,-120.0
1741094535.6273918,766,-181.0
1741094535.657793,770,-572.0
1741094535.671728,772,-408.0
1741094535.7407715,781,-1632.0
1741094535.7826445,786,-876.0
1741094535.797265,788,528.0
1741094535.8366342,793,78.0
1741094535.852512,795,-512.0
1741094535.8871253,799,-972.0
1741094535.927438,803,-102.0
1741094535.971766,809,-930.0
1741094535.979451,810,-2412.0
1741094536.1584394,833,-260.0
1741094536.1872804,837,-190.0
1741094536.4387593,870,-928.0
1741094536.4923475,877,-703.0
1741094536.536883,883,-681.0
1741094536.7334409,908,-237.0
1741094536.7483506,910,-684.0
1741094536.8073418,918,-840.0
1741094536.996311,943,-631.0
1741094537.0184,946,-425.0
1741094537.0872233,955,-216.0
1741094537.153475,963,-360.0
1741094537.229104,972,-687.0
1741094537.2362695,973,0.0
1741094537.2820294,979,-360.0
1741094537.29078,980,-231.0
