Wall time,Step,Value
1741097485.648147,1042,905742.625
1741097485.759145,1048,892541.625
1741097486.0566673,1064,638774.4375
1741097486.09267,1066,567468.125
1741097486.1457832,1069,457178.125
1741097486.3399591,1080,321033.125
1741097486.6170437,1095,225209.3125
1741097486.670535,1098,224049.890625
1741097487.0445423,1118,211320.296875
1741097487.2677202,1130,208872.09375
1741097487.6358461,1150,210444.28125
1741097488.1664698,1179,205874.125
1741097488.2203054,1182,208828.96875
1741097488.3907797,1191,201604.1875
1741097488.6856005,1207,197753.375
1741097488.7226117,1209,199360.75
1741097489.5488443,1253,188435.09375
1741097489.6466596,1258,174303.296875
1741097489.927274,1273,190978.53125
1741097490.0380344,1279,191003.59375
1741097490.12797,1284,188515.59375
1741097490.2637756,1291,182743.5625
1741097490.374881,1297,179032.546875
1741097490.7359407,1316,180702.796875
1741097491.0363364,1332,165825.78125
1741097491.0737574,1334,165609.6875
1741097491.2214162,1342,157956.515625
1741097491.60895,1363,145531.9375
1741097491.7547262,1371,131360.65625
1741097492.125478,1391,121551.828125
1741097493.5577438,1445,106541.53125
1741097493.5761137,1446,104434.9375
1741097493.8916142,1463,106178.421875
1741097493.9470026,1466,103372.203125
1741097494.0007718,1469,103857.125
1741097494.285597,1484,98816.15625
1741097494.3398468,1487,99093.5625
1741097494.3577564,1488,98410.890625
1741097494.5401146,1498,95853.9765625
1741097494.9070961,1517,94765.140625
1741097495.302034,1538,117403.03125
1741097495.6559744,1555,118191.328125
1741097495.7467675,1560,114436.953125
1741097496.2486436,1587,98935.171875
1741097496.435083,1597,102379.9140625
1741097496.5465326,1603,99589.296875
1741097496.6745656,1610,99993.703125
1741097496.6927779,1611,96663.75
1741097497.3089242,1644,84020.46875
1741097497.3473165,1646,85019.921875
1741097497.5701294,1658,81895.7890625
1741097497.701031,1665,82944.421875
1741097497.7194817,1666,81710.609375
1741097497.7549877,1668,82434.34375
1741097497.8102744,1671,83262.140625
1741097497.8498337,1673,81273.578125
1741097498.071518,1685,75178.09375
1741097498.2542012,1695,77949.0625
1741097499.0602362,1738,73841.3984375
1741097499.1381316,1742,70976.328125
1741097499.2145436,1746,66542.34375
1741097499.8089032,1754,63845.5703125
1741097500.0400317,1763,63828.98046875
