Wall time,Step,Value
1741097467.3356786,19,-597.0
1741097467.3801327,25,111.0
1741097467.5115132,43,-1354.0
1741097467.5345874,46,-854.0
1741097467.9772754,57,530.0
1741097468.138735,72,-1761.0
1741097468.1615906,75,-1155.0
1741097468.4178085,95,252.0
1741097468.9000695,156,59.0
1741097468.922575,159,85.0
1741097468.9955177,168,168.0
1741097469.1168876,184,-1032.0
1741097469.8015826,230,-1477.0
1741097469.8429916,235,-585.0
1741097470.0035748,256,960.0
1741097470.04261,261,-72.0
1741097470.093892,268,-960.0
1741097470.1398444,274,0.0
1741097470.399889,309,-1505.0
1741097470.413351,311,-1862.0
1741097470.468352,319,288.0
1741097470.6216242,340,-670.0
1741097470.6854882,348,-582.0
1741097470.831546,368,-856.0
1741097471.232436,422,-75.0
1741097471.239944,423,648.0
1741097471.3869433,443,-75.0
1741097471.4084651,446,-342.0
1741097471.5255055,461,-1992.0
1741097471.5467463,464,-295.0
1741097471.5544307,465,-1016.0
1741097471.6256914,475,942.0
1741097471.76803,494,-1592.0
1741097471.9257843,515,-445.0
1741097472.0917873,537,-1152.0
1741097472.3888216,564,-180.0
1741097472.4661138,574,40.0
1741097472.5115578,580,-2037.0
1741097472.5617433,587,-420.0
1741097472.568576,588,-1768.0
1741097472.8302824,621,-1792.0
1741097472.9479551,635,-1992.0
1741097473.0137532,642,-1020.0
1741097473.0217178,643,-672.0
1741097473.0368483,645,-540.0
1741097473.0592782,648,-1806.0
1741097473.0729556,650,-306.0
1741097473.1651232,662,-1152.0
1741097473.2446473,672,-416.0
1741097473.574734,715,-1992.0
1741097473.6367364,723,-505.0
1741097473.695658,731,-1344.0
1741097473.8668098,753,-90.0
1741097473.8960295,757,-997.0
1741097473.9624176,766,-669.0
1741097474.0027735,770,-1032.0
1741097474.0168567,772,-282.0
1741097474.086623,781,-1839.0
1741097474.1279745,786,-2037.0
1741097474.1438596,788,1080.0
1741097474.18024,793,-1360.0
1741097474.1956995,795,-172.0
1741097474.2238376,799,-1175.0
1741097474.2525733,803,-452.0
1741097474.2961514,809,-1880.0
1741097474.3027642,810,-360.0
1741097474.4792955,833,-297.0
1741097474.5080657,837,-1421.0
1741097474.7572646,870,-1589.0
1741097474.8152232,877,-590.0
1741097474.8601718,883,-237.0
1741097483.6471925,908,-743.0
1741097483.6625009,910,538.0
1741097483.721536,918,400.0
1741097483.915109,943,20.0
1741097483.9355297,946,360.0
1741097484.0131109,955,300.0
1741097484.0853631,963,-875.0
1741097484.1703389,972,158.0
1741097484.176895,973,-365.0
1741097484.2202857,979,690.0
1741097484.2294753,980,168.0
1741097484.2684476,985,-192.0
1741097484.5458367,1003,-120.0
1741097484.5728312,1006,54.0
1741097484.6416018,1015,-672.0
1741097486.0566673,1064,410.0
1741097486.1090062,1067,-1062.0
1741097486.1457832,1069,-432.0
1741097486.2160532,1073,98.0
1741097486.3216217,1079,-492.0
1741097486.4136004,1084,-552.0
1741097486.6000717,1094,-58.0
1741097486.707805,1100,-456.0
1741097486.7979026,1105,-432.0
1741097486.9889922,1115,-712.0
1741097487.7636871,1157,-752.0
1741097487.837745,1161,-1372.0
1741097487.8558025,1162,135.0
1741097487.8735683,1163,948.0
1741097488.2013786,1181,450.0
1741097488.443848,1194,450.0
1741097488.6856005,1207,210.0
1741097489.383073,1245,360.0
1741097489.603756,1256,682.0
1741097489.6648679,1259,-259.0
1741097489.7237985,1262,-12.0
1741097490.092774,1282,-372.0
1741097490.2046993,1288,-1122.0
1741097490.338163,1295,0.0
1741097490.7559686,1317,960.0
1741097490.8102205,1320,-812.0
1741097491.018251,1331,-792.0
1741097491.0737574,1334,-1389.0
1741097491.129423,1337,-197.0
1741097491.149216,1338,-284.0
1741097492.0345168,1386,-125.0
1741097492.1438458,1392,-792.0
1741097492.1619968,1393,-2376.0
1741097492.9988952,1415,815.0
1741097493.221499,1427,-62.0
1741097493.4079041,1437,-573.0
1741097493.4824653,1441,-536.0
1741097493.9651012,1467,-803.0
1741097494.174557,1478,-1424.0
1741097494.3217545,1486,-732.0
1741097494.430511,1492,-1084.0
1741097495.0406833,1524,-186.0
1741097495.114065,1528,-2712.0
1741097495.6179945,1553,-764.0
1741097495.9157114,1569,-72.0
1741097495.9334226,1570,-645.0
1741097496.2115457,1585,960.0
1741097496.2839396,1589,-188.0
1741097496.5826476,1605,-1077.0
1741097496.6013904,1606,-751.0
1741097497.0131178,1628,-1052.0
1741097497.2004337,1638,-1426.0
1741097497.2547677,1641,-1092.0
1741097497.3473165,1646,-163.0
1741097497.4017985,1649,-117.0
1741097497.7734532,1669,430.0
1741097498.0361383,1683,650.0
1741097498.201835,1692,-697.0
1741097498.2777436,1696,360.0
1741097498.3141515,1698,360.0
1741097498.351567,1700,890.0
1741097498.4071121,1703,735.0
1741097498.5357127,1710,-85.0
1741097498.7047665,1719,-1184.0
1741097498.96876,1733,-954.0
1741097499.0045452,1735,-1026.0
1741097499.0602362,1738,-960.0
1741097499.1568286,1743,-1164.0
1741097499.2145436,1746,321.0
1741097499.2336297,1747,-115.0
1741097500.1166615,1767,-1774.0
1741097500.2906609,1776,-432.0
1741097500.402482,1782,-545.0
1741097500.5524173,1790,528.0
1741097500.7238357,1799,-752.0
1741097500.8545914,1806,-278.0
1741097501.2514064,1827,798.0
1741097501.3259299,1831,513.0
1741097501.5141041,1841,-1392.0
1741097501.594817,1845,-7.0
1741097501.763596,1854,-432.0
1741097502.0087419,1867,420.0
1741097502.0648892,1870,-778.0
1741097502.1745934,1876,-291.0
1741097502.2127495,1878,815.0
1741097502.9692798,1918,-312.0
1741097503.2935765,1935,-72.0
1741097503.4800181,1945,960.0
1741097503.5379362,1948,503.0
1741097503.5736005,1950,120.0
1741097503.9147854,1968,650.0
1741097504.1802187,1982,-45.0
1741097504.2187228,1984,-325.0
1741097504.5675077,2002,-588.0
1741097504.6416378,2006,195.0
1741097504.7925918,2014,835.0
1741097505.1095989,2031,840.0
1741097505.236071,2037,-1310.0
1741097505.6945817,2061,-450.0
1741097505.9381123,2074,-1386.0
1741097505.9948978,2077,106.0
1741097506.0138102,2078,-176.0
1741097506.089023,2082,-832.0
1741097506.1659546,2086,960.0
1741097506.238115,2090,-420.0
1741097506.3699486,2097,-767.0
1741097506.6686895,2112,657.0
1741097507.722707,2146,395.0
1741097507.7971246,2150,-72.0
1741097507.9283018,2157,180.0
1741097508.1000354,2166,605.0
1741097508.5795758,2188,-965.0
1741097508.617116,2190,-1584.0
1741097508.6557584,2192,-27.0
1741097508.8044167,2200,1040.0
1741097508.9613526,2208,503.0
1741097509.035655,2212,-1072.0
1741097509.409647,2232,870.0
1741097509.503682,2237,-768.0
1741097509.524174,2238,-888.0
1741097509.5700386,2240,-480.0
1741097509.6257827,2243,393.0
1741097509.7194214,2248,178.0
1741097509.8500235,2255,-840.0
1741097509.9081645,2258,300.0
1741097510.0034714,2263,560.0
1741097510.3679519,2282,755.0
1741097510.556774,2292,-1387.0
1741097510.6684265,2298,-1145.0
1741097510.7806187,2304,-418.0
1741097510.8554797,2308,860.0
1741097511.0847476,2320,-555.0
1741097511.1037695,2321,-1392.0
1741097511.5726247,2346,-32.0
1741097511.7477498,2355,-1340.0
1741097512.451403,2390,-824.0
1741097512.468979,2391,-1767.0
1741097512.5070002,2393,10.0
1741097513.354905,2437,-507.0
1741097513.5067835,2445,-530.0
1741097513.6400514,2452,-515.0
1741097513.6771684,2454,96.0
1741097513.7146895,2456,-825.0
1741097513.8054693,2461,90.0
1741097514.281572,2486,-97.0
1741097514.3013682,2487,-240.0
1741097514.9199038,2497,960.0
1741097514.9584172,2499,960.0
1741097515.0578654,2504,-720.0
1741097515.3199277,2518,-1300.0
1741097515.4360077,2524,-933.0
1741097515.6057,2533,-252.0
1741097515.8882508,2548,-120.0
1741097515.9645107,2552,478.0
1741097516.0036798,2554,1070.0
1741097516.4773178,2579,35.0
1741097516.8991475,2601,-864.0
1741097517.0235085,2607,990.0
1741097517.347611,2624,1000.0
1741097517.4615407,2630,1040.0
1741097517.480205,2631,-392.0
1741097517.7465813,2645,-2352.0
1741097517.9601867,2656,-1112.0
1741097518.397567,2679,390.0
1741097518.5355182,2686,-1535.0
1741097518.6316717,2691,-725.0
1741097518.8843799,2704,960.0
1741097519.0187683,2711,-1094.0
1741097519.3090641,2726,-2042.0
1741097519.5397997,2738,64.0
1741097519.5979369,2741,-1262.0
1741097519.8683946,2755,-1767.0
1741097520.5527081,2790,-506.0
1741097520.5727684,2791,-640.0
1741097520.5978634,2792,490.0
1741097520.9448946,2810,840.0
1741097521.299789,2825,360.0
1741097522.6535845,2873,845.0
1741097522.8730977,2882,-1152.0
1741097523.0424442,2891,825.0
1741097523.1577961,2897,-600.0
1741097523.5618076,2918,-1482.0
1741097523.6003397,2920,-82.0
1741097523.6190674,2921,-164.0
1741097524.5103557,2968,-1799.0
1741097524.6645179,2976,-408.0
1741097525.1038089,2999,275.0
1741097525.4794555,3012,-132.0
1741097525.814896,3028,920.0
1741097525.8746066,3031,915.0
1741097526.0271628,3039,-1778.0
1741097526.0846484,3042,630.0
1741097526.5457597,3066,-1747.0
1741097526.6199384,3070,-2100.0
1741097526.6601653,3072,-933.0
1741097527.209105,3100,825.0
1741097527.6515472,3123,540.0
1741097527.9460266,3138,-517.0
1741097528.291655,3156,-1530.0
1741097528.4145863,3162,485.0
1741097528.7177887,3178,-1032.0
1741097529.0661535,3196,-623.0
1741097529.0855184,3197,-520.0
1741097529.221659,3204,640.0
1741097529.2773268,3207,-944.0
1741097530.1817508,3231,68.0
1741097530.3734748,3241,254.0
1741097530.4457107,3244,840.0
1741097530.4659612,3245,960.0
1741097530.5091536,3247,-1308.0
1741097530.5365305,3248,-601.0
1741097531.0326848,3273,-690.0
1741097531.667633,3306,-450.0
1741097531.824574,3314,-1320.0
1741097532.1004684,3328,-1482.0
1741097532.1197221,3329,-462.0
1741097532.446973,3346,-483.0
1741097533.0136359,3375,810.0
1741097533.0625262,3377,810.0
